,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
21,0,Mahinda Rajapaksa International Cricket Stadium,102116,Afghanistan,116,22.2,5.19,11.6,81.02181818181819,60.98241679269348,19.0,7.776666666666666,12.0,53.47222222222222,10,3,2.0,0.0,1.0,0.0,0.0,2023-06-07 04:30:00,0
22,1,Zahur Ahmed Chowdhury Stadium,102170,Bangladesh,169,43,3.93,18.77777777777778,49.16181818181818,23.234608528726174,17.5,3.505,32.0,62.5297619047619,9,24,2.0,21.0,1.0,0.0,0.0,2023-07-05 08:00:00,0
23,0,Zahur Ahmed Chowdhury Stadium,102170,Afghanistan,83,21.4,3.83,41.5,61.4825,40.351687607785166,18.8,4.433333333333334,28.666666666666664,60.24453941120608,2,3,0.0,1.0,2.0,0.0,0.0,2023-07-05 08:00:00,1
24,1,Zahur Ahmed Chowdhury Stadium,102171,Bangladesh,189,43.2,4.36,18.9,51.93399999999999,37.65755983147288,36.2,6.898333333333333,34.4,46.119528619528616,10,20,0.0,14.0,2.0,0.0,4.0,2023-07-08 08:00:00,0
25,0,Zahur Ahmed Chowdhury Stadium,102171,Afghanistan,331,50,6.62,36.77777777777778,84.715,33.7632183908046,15.916666666666668,4.433333333333334,24.416666666666664,56.7732884399551,9,33,4.0,16.0,9.0,0.0,4.0,2023-07-08 08:00:00,1
26,1,Zahur Ahmed Chowdhury Stadium,102172,Bangladesh,129,23.3,5.48,43.0,75.48799999999999,37.49483221181335,16.25,2.786,35.8,75.25170068027211,3,4,0.0,2.0,2.0,0.0,0.0,2023-07-11 08:00:00,1
27,0,Zahur Ahmed Chowdhury Stadium,102172,Afghanistan,126,45.2,2.77,12.6,28.91100000000001,33.76426603699331,10.0,5.346666666666667,13.5,46.25,10,10,0.0,9.0,1.0,0.0,0.0,2023-07-11 08:00:00,0
28,1,Gaddafi Stadium,102838,Afghanistan,289,37.4,7.67,28.9,103.07454545454544,56.818843354650966,35.5,5.98,35.0,47.129629629629626,10,15,0.0,10.0,5.0,0.0,0.0,2023-09-05 09:30:00,0
29,0,Gaddafi Stadium,102838,Sri Lanka,291,50,5.82,36.375,84.67888888888889,47.91050347607435,33.75,8.766666666666667,30.3,41.06481481481482,8,7,0.0,6.0,1.0,0.0,0.0,2023-09-05 09:30:00,1
30,1,Gaddafi Stadium,102839,Bangladesh,334,50,6.68,66.8,117.7175,40.24366258741259,31.25,6.079999999999999,33.1875,50.36764705882353,5,18,0.0,12.0,6.0,0.0,0.0,2023-09-03 09:30:00,1
31,0,Gaddafi Stadium,102839,Afghanistan,245,44.3,5.5,24.5,81.99090909090908,32.520337060444014,60.0,6.73,54.0,40.94907407407408,10,20,0.0,17.0,3.0,0.0,0.0,2023-09-03 09:30:00,0
